company_name,symbol,scripcode
Zee Entertainment Enterprises Ltd.,ZEEL,505537.0
SVP Global Textiles Ltd.,SVPGLOB,505590.0
Skyline Millars Ltd.,,505650.0
Bimetal Bearings Ltd.,BIMETAL,505681.0
Taparia Tools Ltd.,,505685.0
Bharat Gears Ltd.,BHARATGEAR,505688.0
Brady & Morris Engineering Company Ltd.,,505690.0
LA TIM Metal & Industries Ltd.,,505693.0
Elecon Engineering Company Ltd.,ELECON,505700.0
Deccan Bearings Ltd.,,505703.0
Grauer & Weil (India) Ltd.,GRAUWEIL,505710.0
Him Teknoforge Ltd.,,505712.0
Gabriel India Ltd.,GABRIEL,505714.0
Hercules Hoists Ltd.,HERCULES,505720.0
Algoquant Fintech Ltd.,,505725.0
IFB Industries Ltd.,IFBIND,505726.0
Singer India Ltd.,SINGER,505729.0
International Combustion (India) Ltd.,,505737.0
Federal-Mogul Goetze (India) Ltd.,FMGOETZE,505744.0
JostS Engineering Company Ltd.,,505750.0
Schaeffler India Ltd.,SCHAEFFLER,505790.0
Mipco Seamless Rings (Gujarat) Ltd.,,505797.0
Rane Holdings Ltd.,RANEHOLDIN,505800.0
Rolcon Engineering Company Ltd.,,505807.0
SNL Bearings Ltd.,,505827.0
Jaipan Industries Ltd.,,505840.0
Mangal Credit and Fincorp Ltd.,,505850.0
TRF Ltd.,TRF,505854.0
WPIL Ltd.,,505872.0
Kennametal India Ltd.,KENNAMET,505890.0
Hindustan Hardy Ltd.,,505893.0
Triton Valves Ltd.,,505978.0
Sudal Industries Ltd.,,506003.0
Prakash Industries Ltd.,PRAKASH,506022.0
Arshiya Ltd.,ARSHIYA,506074.0
Grindwell Norton Ltd.,GRINDWELL,506076.0
Lakshmi Precision Screws Ltd.,LAKPRE,506079.0
Stanrose Mafatlal Investments & Finance Ltd.,,506105.0
Genesys International Corporation Ltd.,GENESYS,506109.0
Pankaj Piyush Trade And Investment Ltd.,,506122.0
Parnax Lab Ltd.,,506128.0
Gourmet Gateway India Ltd.,,506134.0
Visagar Polytex Ltd.,VIVIDHA,506146.0
Apis India Ltd.,,506166.0
Emergent Industrial Solutions Ltd.,,506180.0
Kanani Industries Ltd.,KANANIIND,506184.0
Galaxy Cloud Kitchens Ltd.,,506186.0
Arihant Superstructures Ltd.,ARIHANTSUP,506194.0
Bliss GVS Pharma Ltd.,BLISSGVS,506197.0
Styrenix Performance Materials Ltd.,STYRENIX,506222.0
Alembic Ltd.,ALEMBICLTD,506235.0
Amines & Plasticizers Ltd.,AMNPLST,506248.0
Anuh Pharma Ltd.,,506260.0
Modison Ltd.,MODISONLTD,506261.0
Bayer CropScience Ltd.,BAYERCROP,506285.0
Sashwat Technocrats Ltd.,,506313.0
Chemplast Sanmar Ltd.,CHEMPLASTS,543336.0
Chemo-Pharma Laboratories Ltd.,,506365.0
Heubach Colorants India Ltd.,HEUBACHIND,506390.0
Coromandel International Ltd.,COROMANDEL,506395.0
Deepak Nitrite Ltd.,DEEPAKNTR,506401.0
DMCC Speciality Chemicals Ltd.,DMCC,506405.0
Fermenta Biotech Ltd.,,506414.0
GOCL Corporation Ltd.,GOCLCORP,506480.0
Jayshree Chemicals Ltd.,,506520.0
Kanoria Chemicals & Industries Ltd.,KANORICHEM,506525.0
Keltech Energies Ltd.,,506528.0
Kemp & Company Ltd.,,506530.0
Nitta Gelatin India Ltd.,KERALACHEM,506532.0
MP Agro Industries Ltd.,,506543.0
Oriental Carbon & Chemicals Ltd.,OCCL,506579.0
PCBL Ltd.,PCBL,506590.0
Amal Ltd.,,506597.0
Polychem Ltd.,POLYCHEM,506605.0
Punjab Chemicals & Crop Protection Ltd.,PUNJABCHEM,506618.0
Gujchem Distillers India Ltd.,,506640.0
Sadhana Nitro Chem Ltd.,SADHNANIQ,506642.0
Sudarshan Chemical Industries Ltd.,SUDARSCHEM,506655.0
Tecil Chemicals & Hydro Power Ltd.,TECILCHEM,506680.0
Ultramarine & Pigments Ltd.,ULTRMARINE,506685.0
Transpek Industry Ltd.,TRANSPEK,506687.0
Unichem Laboratories Ltd.,UNICHEMLAB,506690.0
Mysore Petro Chemicals Ltd.,MYSORPETRO,506734.0
Alkyl Amines Chemicals Ltd.,ALKYLAMINE,506767.0
Tuticorin Alkali Chemicals and Fertilizers Ltd.,TUTICORALK,506808.0
Astrazeneca Pharma India Ltd.,ASTRAZEN,506820.0
Primo Chemicals Ltd.,PUNALKALI,506852.0
Tanfac Industries Ltd.,TANFACIND,506854.0
